Subclass/&WarlockSubclassPatronTitle	Otherworldly Patron
Feature/&WarlockAngelSubclassAngelSpellsDescription	The Angel lets you choose from an expanded list of spells when you learn a warlock spell. The following spells are added to the warlock spell list for you.\n1st level: bless, divine favor\n2nd level: lesser restoration, spiritual weapon\n3rd level: beacon of hope, spirit guardians\n4th level: death ward, wall of fire\n5th level: flame strike, greater restoration.
Feature/&WarlockAngelSubclassHolyWarriorTitle	Holy Warrior
Feature/&WarlockAngelSubclassHolyWarriorDescription	At 1st level, you acquire the training necessary to effectively arm yourself for battle. You gain proficiency with medium armor and shields. In addition, you gain proficiency with Religion.
Feature/&WarlockAngelSubclassWrackedByDivinityTitle	Wracked with Divinity
Feature/&WarlockAngelSubclassWrackedByDivinityDescription	Your patron can channel chaotic divine energy through your body. As a bonus action, you can touch a weapon to turn it into a magic weapon that deals an additional 1d10 radiant damage on its next hit. In addition you can use your <MAIN_STAT> for the attack and damage rolls for this attack. The effect lasts for one minute, and can be used a number of times equal to your <MAIN_STAT> modifier. Once you use up this feature, you can't use it again until you finish a short or long rest.
Feature/&ConditionWarlockAngelSubclassWrackedByDivinityDescription	Deal 1d10 radiant damage on your next hit. You can use your <MAIN_STAT> for the attack and damage rolls.
Feature/&WarlockAngelSubclassRadiantSoulTitle	Radiant Soul
Feature/&WarlockAngelSubclassRadiantSoulDescription	Your link to your Patron allows you to serve as a conduit for radiant energy. You have resistance to radiant damage, and when you cast any instantaneous effect spell that deals radiant or fire damage, you add your <MAIN_STAT> modifier to one radiant or fire damage roll of that spell. 
Feature/&WarlockAngelSubclassHealingBurstTitle	Healing Burst
Feature/&WarlockAngelSubclassHealingBurstDescription	As a bonus action you can fill the 30-foot radius sphere around you with healing energy, restoring a number of hit points equal to your warlock level + your <MAIN_STAT> modifier to all your allies in the area. Once you use this feature, you can't use it again until you finish a short rest.
Feedback/&AdditionalDamageWrackedByDivinityFormat	Extra damage due to Wracked with Divinity
Feedback/&AdditionalDamageWrackedByDivinityLine	Extra damage due to Wracked with Divinity
Feedback/&AdditionalDamageRadiantSoulLine	Extra damage due to Radiant Soul
Feedback/&AdditionalDamageRadiantSoulFormat	Radiant Soul
Subclass/&WarlockSubclassPatronArchmageTitle	Archmage Patron
Subclass/&WarlockSubclassPatronArchmageDescription	A warlock beholden to an Archmage either serves an extremely powerful mage who bestows power upon them, or channels the echos of a long dead mage, one who's magical presence while alive still allows them some communication with the living. The Archmage Patron allows the warlock to increase the power of their casting ability.
Feature/&WarlockAngelSubclassArchmageSpellsTitle	Expanded Spell List
Feature/&WarlockAngelSubclassArchmageSpellsDescription	The Archmage lets you choose from an expanded list of spells when you learn a warlock spell. The following spells are added to the warlock spell list for you.\n1st level: identify, magic missile\n2nd level: magic weapon, see invisibility\n3rd level: haste, lightning bolt\n4th level: identify creatures, greater invisibility\n5th level: mind twist, dominate person.
Feature/&WarlockArchmageSubclassArcaneKnowledgeTitle	Arcane Knowledge
Feature/&WarlockArchmageSubclassArcaneKnowledgeDescription	You gain proficiency in the Arcana skill, and you learn one cantrip and one extral level 1 spell of your choice from the Wizard spells list.
Feature/&WarlockArchmageSubclassArcanePowerTitle	Arcane Power
Feature/&WarlockArchmageSubclassArcanePowerDescription	Your patron grants you knowlege of a specific area of magecraft. Pick one wizard subclass, you gain the benefits of its 2nd level feature. If the feature would make certain spells count as wizard ones, you count them as warlock spells. If the feature would add certain spells to a wizard's spellbook, add them to your list of known spells instead.
Feature/&WarlockArchmageSubclassArcaneResistanceTitle	Arcane Ward
Feature/&WarlockArchmageSubclassArcaneResistanceDescription	You receive +1 bonus to all your savingthrows against spells. In addition, you gain resitance against force damage.
Feedback/&AdditionalDamageLifedrinkerFormat	Lifedrinker Extra Damage
Feedback/&AdditionalDamageLifedrinkerLine	Lifedrinker Extra Damage
Feature/&WarlockLifedrinkerInvocationTitle	Lifedrinker
Feature/&WarlockLifedrinkerInvocationDescription	When you hit a creature with your pact weapon, the creature takes extra necrotic damage equal to your <MAIN_STAT> modifier.
