Subclass/&MartialEldritchKnightTitle	Arcane Knight
Spell/&CallLightningDescription	A bolt of lightning strikes down from the sky. On each of your turns until the spell ends, you can use your action to call down lightning in this way again, targeting the same point or a different one. 
Spell/&HeatMetalTitle	Heat Metal
Spell/&HeatMetalDescription	Overheat target's armor. Can be reused on subsequent turns to deal more damage.
Rules/&HeatMetalTargetConditionTitle	Armor Heated
Rules/&HeatMetalTargetConditionDescription	Your armor is heated.
Rules/&HeatMetalTargetCondition2Title	Too Hot!
Rules/&ConditionAttackDisadvantageDescription	Disadvantage on next attack.
Rules/&ConditionAllAttacsksStatsDisadvantageDescription	Disadvantage on attack rolls and ability checks.
Rules/&ConditionWeaponAttackDisadvantageDescription	Disadvantage on next weapon attack.
Spell/&FlameBladeSpellTitle Flame Blade
Spell/&FlameBladeSpellDescription	The scimitar you are holding is imbued with fire's wrath. It deals fire damage, in addition you can use your spellcasting ability for the attack and damage rolls of melee attacks using that weapon, and the weapon's damage die becomes 2d8.
Spell/&ConjureSpiritAnimalSpellTitle	Conjure Spirit Animal
Spell/&ConjureSpiritAnimalSpellDescription	Summon spirit in the form of a beast to help you in battle.  The beast attack bonus is equal to your spell attack bonus. When you cast this spell using a spell slot of 3rd level or higher, the beast AC, HP, damage and number of attacks increase.
Spell/&ConjureSpiritAnimalLandSpellTitle	Conjure Land Spirit Animal
Monster/&ConjureSpiritAnimalLandSpellTitle	Land Spirit Animal
Spell/&ConjureSpiritAnimalLandSpellDescription	The beast has more hit points and pack tactics feature.
Spell/&ConjureSpiritAnimalAirSpellTitle	Conjure Air Spirit Animal
Monster/&ConjureSpiritAnimalAirSpellTitle	Air Spirit Animal
Spell/&ConjureSpiritAnimalAirSpellDescription	The beast has 60 ft flying speed and Flyby feature.
Spell/&WinterBlastTitle	Winter's Breath
Spell/&WinterBlastDescription	Create a blast of cold wind to chill your enemies and knock them prone.
Spell/&SpikeGrowthTitle	Spike Growth
Spell/&SpikeGrowthDescription	Cover ground with thorny vegetation and spiked roots, damaging anyone passing through.
Rules/&SpikeGrowthDamageConditionTitle	On Spikes
Rules/&SpikeGrowthDamageConditionDescription	Suffer 2d4 piercing damage for every 5 feet you move.
Spell/&VulnerabilityHexTitle	Vulnerability Hex
Spell/&VulnerabilityHexDescription	Curse target to make it more susceptible to your attacks.
Spell/&EarthTremorTitle	Earth Tremor
Spell/&EarthTremorDescription	You strike the ground and unleash a tremor of seismic force, hurling up earth, rock, and sand.
Rules/&ConditionVulnerabilityHexTitle	Hexed
Rules/&ConditionVulnerabilityHexDescription	Suffer extra 1d6 damage from hexer's attacks.
Feedback/&AdditionalDamageVulnerabilityHexFormat	Vulnerability Hex!
Feedback/&AdditionalDamageVulnerabilityHexLine	{0} deals more damage to {1} as a marked target (+{2})
Race/&ForestGnomeTitle	Woodland Gnome
Race/&ForestGnomeDescription	A constant hum of busy activity pervades the warrens and neighborhoods where gnomes form their close-knit communities. Louder sounds punctuate the hum: a crunch of grinding gears here, a minor explosion there, a yelp of surprise or triumph, and especially bursts of laughter. Gnomes take delight in life, enjoying every moment of invention, exploration, investigation, creation, and play.
Language/&GnomishDescription	An old Solastan language, preserved by gnomes living in deep forests of Solasta, it has survived the Cataclysm.
Language/&GnomishTitle	Gnomish
Feature/&GnomeLanguagesDescription	Common, Gnomish
Feature/&GnomeCunningTitle	Gnomish Cunning
Feature/&GnomeCunningDescription	You have advantage on all Intelligence, Wisdom, and Charisma saves against magic.
Feature/&GnomeNaturalIllusionistTitle	Natural Magic
Feature/&GnomeNaturalIllusionistDescription	You know the Annoying Bee cantrip. Intelligence is your spellcasting modifier for it.
Spell/&SolastaExtraContentConjureMinorElementalsTwoDescription	2 elementals are conjured (CR 1).
Spell/&SolastaExtraContentConjureMinorElementalsOneDescription  Conjure Wind Snake (CR2)
Spell/&SolastaExtraContentConjureMinorElementalsOne2Description  Conjure Skarn Ghoul (CR2)
Feature/&PotentSpellcastingCantirpTitle	Potent Spellcasting
Feature/&PotentSpellcastingCantirpDescription	Add your Wisdom modifier to the damage you deal with any cleric cantrip.
Feedback/&AdditionalDamagePotentSpellcastingFormat	Extra damage due to Potent Spellcasting
Feedback/&AdditionalDamagePotentSpellcastingLine	Extra damage due to Potent Spellcasting
Feature/&AdditionalDamageDomainLawForceStrikeOblivionDescription	+1D8 force damage on weapon attacks, once per turn.
Feature/&PowerDomainOblivionHeraldOfPainLevelDescription	Channel Divinity to cause pain to enemies within 6 cells. Enemies failing a Wisdom save receive 1d8 + your cleric level necrotic damage and are posioned.
Feature/&DomainSunIndomitableLightFixedDescription	Channel divinity to summon a sphere of sunlight, which affects light sensitive creatures and negates areas of darkness.	The sphere blinds hostile creatures for one minute, when appears.
Subclass/&DomainElementalTitle	Elemental
Subclass/&DomainElementalDescription	The Elemental domain allows a cleric to become one with the elements. Clerics who choose the elemental domain can harness the primal forces of nature to their will, causing terrifying destruction and shrugging off attacks that use those forces.
Feature/&DomainElementalHeraldOfTheElementsTitle	Herald of the Elements
Feature/&DomainElementalHeraldOfTheElementsDescription	Use your reaction to become immune to either fire, cold or electiricty element so it heals you instead of wounding you.
Feature/&DomainElementalBonusCantripTitle	Bonus Cantrip
Feature/&DomainElementalBonusCantripDescription	Learn one cantrip that deals fire, cold or lightning damage from any spell list.
Feature/&DomainElementalPrimalHarmonyTitle	Primal Harmony
Feature/&DomainElementalPrimalHarmonyDescription	You can change the damage type of any damage dealt by your cleric spells before the end of your current turn to fire, cold or lightning damage.
Feature/&DomainElementalPrimalHarmonyDamageFireTitle	Primal Harmony: Fire
Feature/&DomainElementalPrimalHarmonyDamageFireDescription	The damage type of all your spells is changed to fire, until end of your turn.
Feature/&DomainElementalPrimalHarmonyDamageColdTitle	Primal Harmony: Cold
Feature/&DomainElementalPrimalHarmonyDamageColdDescription	The damage type of all your spells is changed to cold, until end of your turn.
Feature/&DomainElementalPrimalHarmonyDamageLightningTitle	Primal Harmony: Lightning
Feature/&DomainElementalPrimalHarmonyDamageLightningDescription	The damage type of all your spells is changed to lightning, until end of your turn.
Feature/&DomainElementalCallUponColdTitle	Channel Divinity: Call Upon Ice
Feature/&DomainElementalCallUponColdDescription	Deal 2d8 + your cleric level cold damage to all hostile creatures in 15-foot cone and restrain them if they fails a Constitution saving throw.
Feature/&DomainElementalCallUponWindTitle	Channel Divinity: Call Upon Wind
Feature/&DomainElementalCallUponWindDescription	Create a blast of wind dealing 2d8 + your cleric level bludgeoning damage and knocking down all enemies in its way.
Feature/&DomainElementalCallUponFireTitle	Channel Divinity: Call Upon Fire
Feature/&DomainElementalCallUponFireDescription	Teleport up to 6 cells and deal 2d8 + your cleric level fire damage to all hostile creatures within 5 feet of the space you left.
